Albert_Schweitzer,阿尔伯特·史怀哲
Almond,扁桃
Ambrosia,仙饌密酒
Aachen,亚琛
Amaranth,苋属
American_Chinese_cuisine,美式中国菜
Albertus_Magnus,艾爾伯圖斯·麥格努斯
André_Weil,安德烈·韦伊
Cuisine_of_the_United_States,美國飲食
Argentine_cuisine,阿根廷飲食
Annapolis_Valley,Annapolis_Valley
Al_Capone,艾爾·卡彭
Bonn,波恩
Beer,啤酒
Bubble_tea,珍珠奶茶
Bock,Bock
Bubble_and_squeak,Bubble_and_squeak
Bean,豆类
Bugatti,布佳迪
Genetically_modified_maize,Genetically_modified_maize
Brian_Boitano,布萊恩·博伊塔諾
Bombay_Sapphire,龐貝藍鑽特級琴酒
Budweiser,百威
Basel,巴塞尔
Bundaberg_Rum,Bundaberg_Rum
Bacardi,百加得
Bovril,Bovril
Burns_supper,Burns_supper
Chervil,车窝草
Council_of_Europe,欧洲委员会
Coffea,咖啡屬
Campaign_for_Real_Ale,Campaign_for_Real_Ale
Chinese_Islamic_cuisine,清真菜
Cantonese_cuisine,粤菜
Teochew_cuisine,潮州菜
Cajun_cuisine,Cajun_cuisine
Cologne,科隆
Buddhist_cuisine,素齋
Celery,旱芹
Chinese_cuisine,中国菜
Curry,咖哩
Camel,骆驼
Cuisine,料理
Caribbean_cuisine,Caribbean_cuisine
Coca-Cola,可口可乐
Cereal,谷物
Couscous,古斯米
Ceres_Brewery,Ceres_Brewery
Citric_acid_cycle,三羧酸循环
Caesar_salad,凱撒沙拉
Cheddar_cheese,車打芝士
Cranberry,小紅莓
Chocolate,巧克力
Canadian_whisky,加拿大威士忌
Cookie,曲奇
Cuba_Libre,Cuba_Libre
Chianti,基安蒂酒
Dill,蒔蘿
Draught_beer,生啤酒
Dylan_Thomas,狄兰·托马斯
Dave_Thomas_(businessman),戴夫·湯瑪斯
Eiffel_Tower,艾菲爾鐵塔
Eric_Hoffer,艾力·賀佛爾
European_Parliament,欧洲议会
Ethiopian_cuisine,Ethiopian_cuisine
Ecclesiastes,傳道書
Espagnole_sauce,Espagnole_sauce
Édouard_de_Pomiane,Édouard_de_Pomiane
Elba,厄尔巴岛
Francis_Ford_Coppola,弗朗西斯·科波拉
Food,食物
Fruit,果实
French_fries,馬鈴薯條
Fortified_wine,加强葡萄酒
French_cuisine,法國飲食文化
Five-spice_powder,五香粉
Finger_Lakes,五指湖
Fruitarianism,果食主义
Fusion_cuisine,Fusion_cuisine
Foster's_Lager,Foster's_Lager
Forcemeat,Forcemeat
Freddy_Heineken,Freddy_Heineken
Gazpacho,西班牙凍湯
Groucho_Marx,格魯喬·馬克思
Grape,葡萄
German_cuisine,德國飲食
Greek_cuisine,希臘飲食
Grits,Grits
Gram_Parsons,Gram_Parsons
Hadrian,哈德良
Hakka_cuisine,客家菜
Hunan_cuisine,湘菜
Hogshead,Hogshead
Heinz,亨氏
Hominy,Hominy
Ham,火腿
Haggis,肉馅羊肚
Honey,蜂蜜
Great_Famine_(Ireland),爱尔兰大饥荒
Irn-Bru,Irn-Bru
List_of_Italian_dishes,List_of_Italian_dishes
Ice_beer,Ice_beer
İskender_kebap,İskender_kebap
Julmust,圣诞葡萄汁
Jack_Kerouac,傑克·凱魯亞克
Japanese_cuisine,日本料理
Jimi_Hendrix,吉米·亨德里克斯
Janis_Joplin,珍妮絲·賈普林
Jackson_Pollock,杰克逊·波洛克
Joseph_McCarthy,约瑟夫·雷芒德·麦卡锡
Johann_Philipp_Abelin,Johann_Philipp_Abelin
Julia_Child,茱莉亞·蔡爾德
James_Beard,James_Beard
Jell-O,Jell-O
Carl_Friedrich_Abel,卡尔·弗里德里希·阿贝尔
Korean_cuisine,韓國料理
Kashrut,Kashrut
Kvass,克瓦斯
Kohlrabi,苤藍
Kumquat,金橘
Kahlúa,甘露咖啡力娇酒
Kipper,腌魚 (英國)
Karl_Ferdinand_Braun,卡尔·布劳恩
Alpha-Ketoglutaric_acid,Α-酮戊二酸
Kiwifruit,奇異果
Kutia,庫提亞
Labatt_Brewing_Company,Labatt_Brewing_Company
Louis_Pasteur,路易·巴斯德
Louisa_May_Alcott,露意莎·梅·奧爾柯特
Larousse_Gastronomique,Larousse_Gastronomique
Lazio,拉齐奥大区
Mentha,薄荷
Merlot,梅洛葡萄
Marc_Bloch,馬克·布洛克
Beijing_cuisine,京菜
Moroccan_cuisine,Moroccan_cuisine
Mild_ale,愛爾輕啤酒
Maple_syrup,枫糖
Madeira,馬德拉
Marmite,馬麥醬
Mousse,幕斯
Mexican_cuisine,墨西哥菜
Macaroni,通心粉
Minestrone,意大利雜菜湯
McIntosh_(apple),旭苹果
"Margaret_River,_Western_Australia",玛格丽特河 (西澳)
Cuisine_of_the_Midwestern_United_States,Cuisine_of_the_Midwestern_United_States
Michael_Jordan,迈克尔·乔丹
Mark_Whitacre,Mark_Whitacre
Mainz,美茵茨
Mozzarella,莫薩里拉乾酪
Moxie,Moxie
Malt,麦芽
Manhattan_(cocktail),曼哈頓 (雞尾酒)
Mojito,莫吉托
Miso,味噌
Matzo,Matzo
Montalcino,蒙达奇诺
Marcel_Proust,馬塞爾·普魯斯特
Low-alcohol_beer,Low-alcohol_beer
Neapolitan_sauce,Neapolitan_sauce
Neapolitan_ice_cream,那不勒斯冰淇淋
Nutcracker,胡桃夾子 (工具)
Cuisine_of_New_England,Cuisine_of_New_England
Nori,海苔
Oregano,牛至
Olive_oil,橄欖油
Olive,油橄欖
Oaths_of_Strasbourg,斯特拉斯堡誓言
Oolong,乌龙茶
Old_Fashioned,Old_Fashioned
Paul_Ehrlich,保罗·埃尔利希
Passover,逾越節
Parsley,香芹
Potato,马铃薯
Asimina,泡泡属
Pluot,Pluot
Pasta,意式麵食
Pilsner,比尔森啤酒
Pear,梨
"Pacific_Beach,_San_Diego","Pacific_Beach,_San_Diego"
Pepsi,百事可樂
Pizza,比萨饼
Pinconning_cheese,Pinconning_cheese
Potato_chip,馬鈴薯片
Piña_colada,Piña_colada
Pub_rock_(Australia),Pub_rock_(Australia)
Piedmont,皮埃蒙特大区
Pecorino_Romano,Pecorino_Romano
Pizza_cheese,Pizza_cheese
Rhine,莱茵河
Ringwood_Brewery,Ringwood_Brewery
Rhineland-Palatinate,莱茵兰-普法尔茨
Rosół,Rosół
Rob_Roy_(cocktail),Rob_Roy_(cocktail)
Spearmint,留蘭香
Submarine_sandwich,潛艇三明治
Swiss_cheese,Swiss_cheese
Sockerdricka,Sockerdricka
Sorrel,酸模
Sicily,西西里岛
Spanish_cuisine,西班牙飲食
Sichuan_cuisine,川菜
Shanghai_cuisine,上海菜
Soul_food,Soul_food
Susan_B._Anthony,苏珊·安东尼
Stout,司陶特啤酒
Sushi,寿司
Spam_(food),午餐肉
Santorini,圣托里尼
Shepherd_Neame_Brewery,Shepherd_Neame_Brewery
Stella_Artois,時代啤酒
Swedish_cuisine,瑞典飲食
Sake,日本酒
